"registration_area","count_uniq_patient_2021","count_uniq_patient_stent1_2021","count_uniq_patient_stent2_2021","count_uniq_patient_stent3_2021","count_uniq_patient_2022","count_uniq_patient_stent1_2022","count_uniq_patient_stent2_2022","count_uniq_patient_stent3_2022","count_uniq_patient_2023","count_uniq_patient_stent1_2023","count_uniq_patient_stent2_2023","count_uniq_patient_stent3_2023"
"ВІННИЦЬКА","1163","5","611","0","1306","2","781","1","1409","0","898","0"
"ВОЛИНСЬКА","900","3","434","1","972","1","583","4","1004","4","498","25"
"ДНІПРОПЕТРОВСЬКА","3945","4","1084","3","4363","0","1566","1","4424","0","2023","116"
"ДОНЕЦЬКА","1741","2","645","1","770","0","133","0","575","0","5","0"
"ЖИТОМИРСЬКА","880","2","302","0","1156","1","558","0","1232","0","734","3"
"ЗАКАРПАТСЬКА","824","2","489","0","1017","1","644","0","1100","3","676","2"
"ЗАПОРІЗЬКА","2002","3","842","0","1498","0","795","24","1801","0","960","60"
"ІВАНО-ФРАНКІВСЬКА","1024","1","461","0","1261","7","708","0","1286","9","849","11"
"КИЇВСЬКА","1411","1","452","4","1400","4","457","21","2396","4","985","91"
"КІРОВОГРАДСЬКА","962","8","278","2","1046","1","370","0","1077","0","542","29"
"ЛУГАНСЬКА","673","0","11","0","130","0","0","0",NULL,NULL,NULL,NULL
"ЛЬВІВСЬКА","2812","5","1049","3","3250","19","1564","3","3557","10","1736","20"
"МИКОЛАЇВСЬКА","843","2","306","3","949","0","330","0","1074","0","504","11"
"М.КИЇВ","2460","4","790","3","3118","5","1421","7","3243","1","1626","132"
"ОДЕСЬКА","1578","9","835","19","2213","4","1190","14","2430","6","1403","56"
"ПОЛТАВСЬКА","1371","6","782","2","1690","4","1012","0","1815","4","1142","31"
"РІВНЕНСЬКА","934","0","423","0","1057","1","677","0","1107","5","745","4"
"СУМСЬКА","1106","0","538","0","1185","0","631","1","1081","0","587","54"
"ТЕРНОПІЛЬСЬКА","802","0","303","0","901","2","449","1","924","6","568","4"
"ХАРКІВСЬКА","2665","14","1017","1","2178","3","501","0","3025","3","1213","19"
"ХЕРСОНСЬКА","826","7","200","0","411","5","91","0","291","0","121","0"
"ХМЕЛЬНИЦЬКА","1175","1","551","0","1300","4","780","0","1514","0","961","68"
"ЧЕРКАСЬКА","1261","0","689","1","1420","0","788","0","1413","1","927","6"
"ЧЕРНІВЕЦЬКА","980","0","373","0","1088","0","579","0","1430","0","727","143"
"ЧЕРНІГІВСЬКА","896","0","376","0","809","0","392","0","968","0","558","27"
